variable,state,n,reliability,all100_enrich_+5,all100_z_+5,all100_enrich_+4,all100_z_+4,all100_enrich_+3,all100_z_+3,all100_enrich_+2,all100_z_+2,all100_enrich_+1,all100_z_+1,all100_enrich_-1,all100_z_-1,all100_enrich_-2,all100_z_-2,all100_orient_agree,best_enrich_+5,best_z_+5,best_enrich_+4,best_z_+4,best_enrich_+3,best_z_+3,best_enrich_+2,best_z_+2,best_enrich_+1,best_z_+1,best_enrich_-1,best_z_-1,best_enrich_-2,best_z_-2,best_orient_agree,flag_+5,flag_+4,flag_+3,flag_+1,flag_-1,flag_-2
braaksc,2,142,exploratory,1.7450329474144226,5.676891148292869,1.2611972220561285,1.7981071968886244,1.1634734905504547,2.228696310356161,1.2368022497687157,2.2146420508236546,0.912380324266008,-1.1518872707191046,0.8905456822171386,-2.111733623844755,1.0877363636779391,1.452404689548203,0.44294294294294295,1.548898125637205,2.4511027960381604,1.183103554596309,0.9065368323581576,1.2640194464530223,1.8156152412397992,1.1395257985996334,0.6840866891386512,0.9716584963013722,-0.16190632739112923,0.9403284867621653,-0.6073218502382155,1.2922235791030396,2.6079711046102085,0.45,False,False,False,True,False,False
braaksc,3,321,comfortable,1.6803813752780985,5.515024209114524,1.1815829623448473,1.3832575053966414,1.253499850375499,3.1283101478561837,1.3247471931313997,2.873221226512308,0.9834936619479797,-0.26915812101946357,0.8396495564414049,-3.1993727533030714,0.9800357790182082,-0.3016766879731569,0.5587905935050392,2.098526925863318,5.160998742639388,1.07147701071477,0.23743389856250782,1.272443033777062,1.9600660655131554,1.1696122883316369,0.9728264121462449,1.025807498782665,0.31598295051628444,0.8713210652684806,-1.398365149884462,0.926622278952634,-0.5544956734166443,0.6153846153846154,True,False,False,False,True,True
braaksc,4,360,comfortable,2.1320237179353896,8.343567659589986,1.3300595203338434,2.2801108104379177,1.099115396800146,1.1895856095916983,1.2903251507835969,2.4725909761977216,1.1611206611416247,1.758421180594356,0.8405599861493721,-2.7780228439939187,1.0483631416511463,0.7355248321022753,0.5426621160409556,2.0888990198313198,4.714922423611436,1.2136730252208425,0.8654595209545629,1.0173948039171847,0.13770391562885043,1.3800331906716745,1.585987934380926,1.3878760022470764,2.7612904453122367,0.6984599860653966,-3.151862325056922,0.9878537236640725,-0.029904607037153266,0.23076923076923078,True,True,True,False,True,True
braaksc,5,310,comfortable,1.7937967775898347,5.849598417797795,1.0940208393784223,0.6118245581092642,1.0929112555871356,1.170018444601159,1.0267965100877212,0.26836782405024423,1.1980687870593751,2.587477849852514,0.9779877274083169,-0.38569804757577997,1.0272365720895873,0.48052556663700396,0.48131622978248745,1.598291558952456,2.99832213726831,0.9974117795593712,0.013832753207133786,1.1612609235699218,1.2694266293186898,0.9526680735604462,-0.21848839495965022,1.22014890920232,1.576275831839919,1.0980931057222623,0.9781518706684158,1.065527705968304,0.559815768593906,0.5,True,True,True,False,True,True
braaksc,6,268,workable,1.5510231186665162,5.067187293303032,1.1420354189355117,1.041820381417701,1.0636504825489697,0.7724903292234827,1.1543863786751951,1.5996061625378728,0.9842664306552052,-0.22665132306568467,0.9823886084678306,-0.4801209218511206,0.9459776812519327,-0.8567915850408879,0.41710388247639035,1.4715641189824784,2.5069340212898545,1.0847745774348578,0.38298184509873173,1.208847677884231,1.9606982056603997,1.2334664198246825,1.5987450829332894,0.8860544883080975,-0.8186624042955959,1.0663165450853114,0.8425178354531393,1.0379782624965697,0.33002115422331496,0.14285714285714285,False,False,False,False,False,False
ceradsc,0,144,exploratory,2.372028422180435,9.682966732666834,1.0910047317802845,0.6572633695872518,1.0025520427007113,-0.05430454372719458,1.6220783628999238,4.382973489801312,1.1537158502427554,1.8938359079114209,0.9288085979731199,-1.116291956162298,0.836435765619534,-1.9786330271530188,0.5063938618925832,2.095645125635546,3.5843213966625598,0.7846707776352273,-0.5882169502523676,0.9592506396449789,-0.1813744913527911,1.5167857243696528,1.9223541113678226,1.3563799052383074,1.8493165293617728,0.9325950030677467,-0.5249976706036384,0.9646620419592198,-0.0497070224258864,0.42857142857142855,False,False,False,False,False,False
ceradsc,1,58,p>n (overfit),1.875971565158902,5.630789228463073,1.3887114066097255,2.676614699140517,1.0873918577404686,0.7913213532358816,1.1454688272307505,1.13629984138573,0.975117869012318,-0.3556239432819365,0.8958348807098405,-1.7315892912921471,0.9521908339795643,-0.5810934738822444,0.5874524714828897,1.6877336656578243,1.8360847842113501,2.053794620537946,3.0531638689851652,0.9380784409597317,-0.3416583195595248,0.9700525274575346,-0.16577176597710452,1.1343783654421442,0.5458292888385986,0.9190700467228341,-0.48406674483648315,0.884050967725527,-0.6610189001762355,0.5333333333333333,True,False,True,True,True,False
ceradsc,2,169,workable,2.083608453911249,7.694192111541621,1.1468518080449452,0.9946781644499397,1.1097524645363777,1.3129433010529858,1.2449125289743588,2.0262776170653245,1.0447552288102848,0.5427058467754675,0.9047773115165195,-1.5666289144724288,0.9069515711585526,-1.3119538839289093,0.44263775971093045,2.3826383425124575,4.324296944737591,1.6291059066136395,1.947703485855089,1.0973915727735761,0.4027835246707868,1.0320570796904833,0.2218111085406387,0.9747928785475057,-0.1550305358199051,0.8734831522790724,-0.9832004781512538,0.7399497958113223,-1.7117776297763134,0.42857142857142855,False,False,False,False,False,False
ceradsc,3,219,workable,1.8727056178402741,6.243343226262187,1.2783101193294404,1.616164618426385,1.0505042466954855,0.4590540264198975,1.1386374158985586,0.9466839269048172,1.0794134471232177,0.7690770257030609,0.8603362289802228,-2.2666089118017014,0.9538456143649262,-0.49504919702256983,0.6247165532879818,1.7814966470832592,2.968857795057806,1.05322801053228,0.34286699340483473,0.993259525722069,-0.04214538992721725,1.2934033699433793,1.1545277835107202,0.9663223113025674,-0.20645210955012658,0.8498927313781046,-1.3126285017761834,0.7768932746678875,-1.5654867242333408,0.42857142857142855,False,False,False,False,False,False
amyThal,1,33,p>n (overfit),1.4417769195406533,3.0256143241761757,1.0173185525228476,0.10258489821044611,1.1234899095250996,1.4182957159971843,0.8872787443109147,-0.8795310174205581,1.024531437995605,0.042283643987822896,0.8375126795123247,-2.488734428293834,1.0020141542190004,0.06935226032208339,0.40770609318996415,1.3828918193488153,1.2202602856890874,0.7249131546175525,-0.9304796080978275,1.1213113252901719,0.6518693172333394,0.777176586325627,-1.0221449682925001,1.239312887285277,1.3891165914868837,0.893961943887529,-1.0178370253672342,0.9219278795658769,-0.6048813474346019,0.0,False,False,True,True,False,False
