region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron <= -0.0632 (low third)  AND  race = Black or African American,2,95,0.63154,0.62031,0.01354,0.82891,0.21891,0.39197,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,95,0.63146,0.62031,0.01354,0.82337,0.21891,0.39197,False
PMI <= 5.17 (low third)  AND  celltype_astrocyte > 0.236 (high third),2,104,0.63134,0.62031,0.01354,0.81409,0.21891,0.39197,False
PMI <= 5.17 (low third)  AND  ageDeath <= 83.6 (lower half),2,103,0.63129,0.62031,0.01354,0.81062,0.21891,0.39197,False
race = White  AND  cohort = MAP,2,59,0.62314,0.60994,0.01645,0.80266,0.18408,0.35219,False
celltype_neuron <= -0.0632 (low third)  AND  Braak = Stage V,2,71,0.62255,0.61159,0.01371,0.79949,0.22886,0.40122,False
celltype_neuron <= -0.0632 (low third)  AND  ADoutcome = Other,2,57,0.62299,0.60994,0.01645,0.79359,0.19403,0.36133,False
PMI <= 5.17 (low third)  AND  celltype_neuron > 0.277 (high third),2,83,0.62603,0.61449,0.01459,0.79114,0.23881,0.41519,False
race = White  AND  ADoutcome = Control,2,123,0.63146,0.6223,0.01165,0.78623,0.22388,0.39748,False
race = White  AND  celltype_astrocyte <= 0.0206 (lower half),2,224,0.63989,0.63266,0.00924,0.78301,0.20896,0.384,False
celltype_neuron <= 0.103 (lower half)  AND  PMI > 6.83 (upper half),2,190,0.63889,0.63188,0.00905,0.77533,0.24378,0.41692,False
