source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP4B1,AP4E1,1.0,0.0,0.0,200,0.571199460243642,0.7156407030638733,0
TMED2,COPA,1.0,0.0,0.0,400,0.8599898527409406,0.9130411748256091,0
AP4B1,AP4S1,1.0,0.0,0.0,216,0.6899208034080224,0.8014355336213973,0
AP4B1,SORT1,0.6,0.0,0.0,232,0.8623847461420596,0.9140998767859108,0
TMED2,COPB1,1.0,0.0,0.0,400,2.5785740658285877e-05,0.0001590931546275374,0
TMED2,COPB2,1.0,0.0,0.0,400,2.4041514885606054e-10,3.573443348905991e-09,0
TMED2,GORASP1,0.2,0.0,0.0,264,2.531245805428006e-08,2.805821621610027e-07,0
TMED2,HSPA5,0.2,0.0,0.0,400,0.023730651240425678,0.05953725394454171,0
TMED2,PREB,0.6,0.0,0.0,400,0.04569825882388462,0.10305745265800186,0
TMED9,TMED10,0.8,0.0,0.0,400,3.1817959121566995e-27,2.972706466500688e-25,0
TMED10,BACE1,0.6,0.0,0.0,400,3.26064498506272e-14,7.61593507225364e-13,0
SREBF2,OSBP,0.6,0.0,0.0,256,0.1295475980674954,0.23339980478276032,0
SREBF2,SAR1B,0.6,0.0,0.0,256,0.3845535073993904,0.5467347692156551,0
SREBF2,SEC23A,0.6,0.0,0.0,256,0.9956009858881139,0.9975732507324389,0
SREBF2,SEC23B,0.6,0.0,0.0,256,0.02385131580041273,0.05953725394454171,0
SREBF2,SEC24B,0.6,0.0,0.0,256,0.0040255254881112305,0.013254924518126081,0
SREBF2,SEC24C,0.6,0.0,0.0,256,0.3990883849775009,0.5588946547650655,0
SREBF2,VLDLR,0.2,0.0,0.0,248,0.6512658742261123,0.779066148702065,0
TMED9,RAB1A,0.6,0.0,0.0,400,0.8348551407705459,0.8965439442757587,0
TMED9,SEC23A,0.4,0.0,0.0,400,0.23088267256218462,0.37100065812203625,0
AP2B1,SEC24C,0.4,0.0,0.0,400,6.154053191536737e-13,1.183750231548537e-11,0
HSPA9,SEC13,0.2,0.0,0.0,400,0.07255773716343682,0.14782791309933857,0
IDE,ADAM10,0.2,0.0,0.0,400,0.37412025407613486,0.5389309386911723,0
AP2B1,BIN1,0.2,0.0,0.0,400,2.75839414166085e-07,2.373670748218679e-06,0
AP2B1,COPA,0.2,0.0,0.0,400,0.7319316708844491,0.8281718213813664,0
ITPR2,HSPA9,0.2,0.0,0.0,400,9.308648527022366e-09,1.1068829339404777e-07,0
HSPA5,COPA,0.4,0.0,0.0,400,0.013325280120566151,0.03740228840708267,0
HSPA5,COPE,0.2,0.0,0.0,400,0.00013960731894675576,0.0006916908075089263,0
HSPA5,EIF2S1,0.6,0.0,0.0,400,1.0311051833913645e-19,3.966722293752661e-18,0
HSPA5,MIA3,0.4,0.0,0.0,400,2.5929277637396834e-24,1.541613415896139e-22,0
TMED2,TMED10,1.0,0.0,0.0,400,6.037022451140035e-16,1.6450886179356596e-14,0
IDE,PICALM,0.2,0.0,0.0,400,0.13008772214697964,0.23372903924210078,0
IDE,PLG,0.2,0.0,0.0,400,0.6092964470889928,0.7448221988714043,0
TMED2,RAB1B,0.6,0.0,0.0,400,6.414320823959924e-10,9.322146264155089e-09,0
TMED2,SEC16A,0.6,0.0,0.0,400,0.9728236907658769,0.9879296486970242,0
TMED2,SEC23A,0.6,0.0,0.0,400,9.882238660948995e-06,6.336258906137885e-05,0
TMED2,SEC24B,0.6,0.0,0.0,400,0.0012954944284135398,0.005197873350812608,0
TMED2,SEC24C,0.6,0.0,0.0,400,0.02381694448157924,0.05953725394454171,0
TMED2,SEC31A,0.6,0.0,0.0,400,0.23762514068327217,0.38010594815667614,0
ITPR1,PSEN1,0.6,0.0,0.0,400,0.272022507745391,0.42458883070521647,0
IDE,LRP1,0.2,0.0,0.0,400,0.5223751573480798,0.6765016889220677,0
TMED9,APP,0.6,0.0,0.0,312,0.351360464251442,0.5106438747120957,0
AP2A1,SEC16A,0.4,0.0,0.0,400,0.00012284227617635825,0.0006179911432256792,0
AP2A1,VLDLR,0.6,0.0,0.0,368,0.21457139679789167,0.3508242337645529,0
AP2B1,AP2A1,1.0,0.0,0.0,400,2.9985237199537814e-68,1.961034512849773e-65,0
AP2B1,AP3B2,0.6,0.0,0.0,240,0.2734539666778969,0.425806890969868,0
AP2B1,ARF6,0.6,0.0,0.0,400,0.27096094985168473,0.42394368708852104,0
TMED9,COPZ1,1.0,0.0,0.0,400,0.016447605440144692,0.04470289087981779,0
AP1G1,SEC24B,0.2,0.0,0.0,400,0.20754815860767328,0.3461482480994612,0
ADAM17,APBA2,0.6,0.0,0.0,368,0.30465667845182076,0.45698501767773114,0
ITPR1,MFN2,0.6,0.0,0.0,400,0.03060953264767989,0.0733283309581782,0
AP2B1,GGA2,0.4,0.0,0.0,400,0.00015327500272406744,0.0007536981336957902,0
AP2B1,GGA3,0.4,0.0,0.0,400,0.00781294958718949,0.023655875138990395,0
AP2B1,PICALM,1.0,0.0,0.0,400,1.2724982887260895e-09,1.770667831546516e-08,0
TMED10,SEC23A,0.6,0.0,0.0,400,3.507773798317469e-05,0.00020482893429460934,0
TMED10,SEC23B,0.2,0.0,0.0,400,0.02615339307836119,0.06454460027640836,0
TMED10,SEC24A,0.6,0.0,0.0,400,0.0008300863636924769,0.0034578119863368146,0
ADAM17,APBA1,0.6,0.0,0.0,368,0.24693069385174388,0.3929262135743078,0
IDE,VDAC1,0.2,0.0,0.0,400,0.9403235454330847,0.9654185223127746,0
ITPR1,HSPA5,0.2,0.0,0.0,400,4.785749764952937e-05,0.0002652440971423068,0
ITPR1,HSPA9,0.8,0.0,0.0,400,0.4023709662826551,0.5598949190401201,0
AP2B1,COPZ1,0.2,0.0,0.0,400,0.44860415728321845,0.6036771993070471,0
APOE,VLDLR,0.8,0.0,0.0,368,0.6627936888173145,0.7888196764157235,0
APP,ABCA7,0.2,0.0,0.0,224,0.2099666769458234,0.3467631482893144,0
APP,AP1G1,0.6,0.0,0.0,312,0.6682273896646038,0.7888196764157235,0
SEC31A,RAB1B,0.6,0.0,0.0,400,0.09227773031080824,0.17854921782032127,0
SORT1,LRP1,0.2,0.0,0.0,400,0.018892913281036285,0.04922695332987143,0
SORT1,MIA3,0.2,0.0,0.0,400,0.9004597416297428,0.9415011369885635,0
SORT1,OSBP,0.2,0.0,0.0,400,0.283478001382323,0.43828513688898163,0
