source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
GGA2,APP,0.6,0.0,0.0,676,0.001494060347833504,0.0025713564933766094,0
GGA1,AP1G1,0.6,0.0,0.0,676,1.659700557400204e-16,7.808950824026859e-16,0
GGA1,APP,0.6,0.0,0.0,676,0.01200032618787956,0.01812520398815989,0
GGA1,BACE1,0.8,0.0,0.0,676,0.5823168111325286,0.6305218451666784,0
GGA1,COPB2,0.2,0.0,0.0,676,0.0002882714213972582,0.0005400371540347631,0
ECE1,APP,0.6,0.0,0.0,676,0.07602221875161295,0.09983640775814231,0
RAB1B,PREB,0.2,0.0,0.0,676,0.2005763658146903,0.24657320158422455,0
ECE1,IDE,0.4,0.0,0.0,676,0.40534285056325964,0.4554883578494361,0
SAR1A,HSPA5,0.2,0.0,0.0,676,3.2497495813449964e-07,8.569904137901724e-07,0
RTN4,COPA,0.4,0.0,0.0,676,6.961793886042818e-13,2.6017218294125734e-12,0
SEC13,MIA3,0.2,0.0,0.0,676,8.965617717718057e-17,4.279937217071248e-16,0
SEC13,OSBP,0.2,0.0,0.0,676,1.535825362331826e-07,4.099713416183731e-07,0
SAR1B,VDAC1,0.4,0.0,0.0,676,3.7011814011152863e-06,8.770190711338397e-06,0
SEC13,ARF6,0.2,0.0,0.0,676,0.008690642015810048,0.013564868444724992,0
SEC13,COPA,0.2,0.0,0.0,676,1.267122262777119e-34,2.0212145362347214e-33,0
SEC13,COPB1,0.2,0.0,0.0,676,3.8690983661917226e-27,4.148180871294076e-26,0
SAR1B,SEC23A,1.0,0.0,0.0,676,0.9225075530997272,0.9324883148797861,0
ECE1,BACE1,0.2,0.0,0.0,676,0.24162612507637415,0.291556246863374,0
RAB1B,RAB1A,0.4,0.0,0.0,676,5.28968782158603e-43,1.0483199500961404e-41,0
RAB1B,RTN4,0.4,0.0,0.0,676,0.002795506894577459,0.00469990105155182,0
RAB1B,SAR1A,0.4,0.0,0.0,676,5.674587238839439e-11,1.883847743249235e-10,0
RAB1B,SAR1B,0.6,0.0,0.0,676,0.03031198240748025,0.04290916990149802,0
SAR1A,SEC24D,0.6,0.0,0.0,676,4.9456883335313934e-05,0.0001013943626999853,0
SAR1A,SEC31A,0.6,0.0,0.0,676,1.7945224058141758e-13,6.985819365490899e-13,0
SAR1A,PREB,0.6,0.0,0.0,676,1.9567317117250096e-09,5.979918408729702e-09,0
SAR1A,RAB1A,0.2,0.0,0.0,676,2.914885820357149e-20,1.8508109966151215e-19,0
SAR1A,SEC23A,1.0,0.0,0.0,676,9.213554215385348e-19,5.194538324881049e-18,0
