region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,70,70,0.60144,0.59122,0.79783,0.22388,0.8117,0.4548,0.47456,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,77,77,0.60636,0.59397,0.99213,0.17413,0.78946,0.44326,0.4193,False
celltype_astrocyte > 0.235 (high third)  AND  dcfdx_lv = 1,2,52,52,0.59663,0.58189,0.98156,0.14925,0.78624,0.4548,0.39066,False
celltype_neuron > 0.0321 (upper half)  AND  age_death > 89.4 (upper half),2,94,94,0.60514,0.59797,0.65298,0.25373,0.7662,0.50635,0.51603,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron -0.149-0.194 (middle third),2,67,67,0.60022,0.59122,0.7028,0.27363,0.71835,0.50979,0.53832,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,68,68,0.59998,0.59122,0.68421,0.28358,0.70008,0.50979,0.54368,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia -0.284-0.197 (middle third),2,42,42,0.59009,0.57807,0.78819,0.20398,0.69101,0.51675,0.46164,False
pmi 5.67-7.61 (middle third),1,131,131,0.61355,0.60576,0.72441,0.22388,0.68718,0.50635,0.47456,False
cogdx = 1,1,168,168,0.61705,0.60942,0.92934,0.16915,0.67726,0.53037,0.41395,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial <= -0.043 (lower half),2,53,53,0.59471,0.58189,0.85381,0.199,0.6634,0.53037,0.46077,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial -0.263-0.217 (middle third),2,67,67,0.5992,0.59122,0.62313,0.29353,0.64008,0.53336,0.55221,False
celltype_neuron > 0.0321 (upper half)  AND  msex = 0,2,130,130,0.61277,0.60576,0.65234,0.24378,0.61095,0.53336,0.49917,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,108,108,0.60895,0.60192,0.6372,0.28358,0.60028,0.53992,0.54368,False
celltype_neuron > 0.194 (high third)  AND  Study = MAP,2,81,81,0.60364,0.59397,0.77411,0.22886,0.59191,0.55651,0.47837,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia -0.284-0.197 (middle third),2,62,62,0.59747,0.58775,0.69246,0.26368,0.58544,0.5592,0.52912,False
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial > -0.043 (upper half),2,46,46,0.59316,0.58189,0.75043,0.21891,0.564,0.5592,0.47403,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte <= -0.186 (low third),2,75,75,0.60326,0.59397,0.74324,0.22886,0.56393,0.5592,0.47837,False
celltype_neuron > 0.0321 (upper half)  AND  pmi <= 6.5 (lower half),2,99,99,0.60512,0.60014,0.43181,0.31841,0.56011,0.5592,0.57735,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia <= -0.077 (lower half),2,120,120,0.61026,0.60325,0.65941,0.29851,0.56003,0.5592,0.55463,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max 85.7-90 (middle third),2,122,122,0.61022,0.60325,0.65614,0.29851,0.55685,0.5592,0.55463,False
celltype_astrocyte > 0.235 (high third)  AND  msex = 1,2,45,45,0.5879,0.57807,0.64481,0.23881,0.5502,0.5592,0.49233,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv > 28 (high third),2,41,41,0.5879,0.57807,0.64455,0.23881,0.54995,0.5592,0.49233,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte > 0.164 (high third),2,65,65,0.5968,0.58775,0.64468,0.27363,0.53865,0.57879,0.53832,False
celltype_astrocyte > 0.235 (high third)  AND  pmi <= 6.5 (lower half),2,84,84,0.60281,0.59397,0.70774,0.25871,0.53177,0.57668,0.52262,False
celltype_neuron > 0.194 (high third)  AND  pmi <= 6.5 (lower half),2,66,66,0.59738,0.59122,0.48109,0.32836,0.50055,0.5592,0.58139,False
age_at_visit_max 85.7-90 (middle third),1,266,266,0.62118,0.61819,0.51208,0.32338,0.50051,0.5592,0.58139,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc <= 3 (low third),2,77,77,0.60219,0.59397,0.65785,0.26866,0.48656,0.58993,0.53553,False
celltype_neuron > 0.194 (high third)  AND  msex = 0,2,87,87,0.60158,0.59797,0.32872,0.37313,0.46992,0.5955,0.62745,False
age_first_ad_dx > 89 (upper half),1,66,66,0.5969,0.59122,0.44356,0.33333,0.46368,0.57879,0.58674,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max <= 85.7 (low third),2,43,43,0.58655,0.57807,0.55629,0.29353,0.46327,0.57668,0.55221,False
braaksc <= 4 (lower half),1,326,326,0.62258,0.62087,0.44547,0.31841,0.46008,0.57452,0.57735,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial > -0.043 (upper half),2,80,80,0.60177,0.59397,0.62436,0.27861,0.45621,0.59183,0.54104,False
pmi > 6.5 (upper half),1,197,197,0.6161,0.61347,0.35746,0.39801,0.43583,0.59183,0.65465,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia -0.284-0.197 (middle third),2,82,82,0.60145,0.59397,0.599,0.27861,0.43324,0.59369,0.54104,False
