source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
VPS29,BIN1,0.2,0.0,0.0,189,0.016256305741738204,0.06728875920947332,0
VPS29,SNX6,0.8,0.0,0.0,189,0.009567842498180485,0.04469549281292884,0
TMED2,SEC23A,0.6,0.0,0.0,189,0.6695608812096809,0.8121774408053202,0
OSBP,SEC13,0.2,0.0,0.0,189,0.7546784280518557,0.8633729881701162,0
VDAC1,ADAM10,0.6,0.0,0.0,189,1.1659655929911892e-05,0.00015562071384004852,0
TMED9,COPZ1,1.0,0.0,0.0,189,0.9036637496541003,0.9486293615951551,0
MFN2,HSPA9,0.6,0.0,0.0,189,4.2511102028194036e-08,1.1584275302682874e-06,0
ABCA7,ADAM10,0.2,0.0,0.0,113,0.21790442268710797,0.4311627868021847,0
ABCA7,SREBF2,0.2,0.0,0.0,33,0.6377479043257857,0.7847351650501896,0
VPS26A,SORL1,1.0,0.0,0.0,189,0.11397716723832232,0.2791800276174637,0
PICALM,PSEN1,0.2,0.0,0.0,189,0.38291679513544924,0.6048975459386082,0
PICALM,SEC16A,0.2,0.0,0.0,189,0.5195798036280267,0.7094054103814812,0
PLCG2,ITPR2,0.8,0.0,0.0,180,0.6163026086449296,0.7721492453137624,0
LRP1,GGA2,0.4,0.0,0.0,189,0.08740354006008959,0.22773671394142864,0
LRP1,IDE,0.2,0.0,0.0,189,0.05761567129932058,0.17607779920446573,0
LRP1,PICALM,0.2,0.0,0.0,189,0.7551213291029151,0.8633729881701162,0
LRP1,PLG,0.4,0.0,0.0,189,0.548433125006353,0.733487246941012,0
LRP1,RTN3,0.2,0.0,0.0,189,0.6956394992157584,0.821891250794197,0
LRP1,RTN4,0.2,0.0,0.0,189,0.006868456920502559,0.03455362173852826,0
AP2A1,AP4B1,0.8,0.0,0.0,122,0.3105892103807549,0.5373686338333695,0
LRP1,SREBF2,0.2,0.0,0.0,68,0.035111205294382435,0.11836457867281501,0
PICALM,AP4M1,0.2,0.0,0.0,80,0.0007789798926983078,0.005855779883042452,0
ITPR1,PSEN1,0.6,0.0,0.0,189,0.9245759708818267,0.9582768382832245,0
ITPR1,SIGMAR1,0.6,0.0,0.0,154,0.11803256589315962,0.28667148861441555,0
ITPR1,SYK,0.6,0.0,0.0,162,0.06037484627133703,0.18029748612536264,0
ITPR2,MFN2,0.4,0.0,0.0,189,8.0560977527847e-06,0.00011209974319832326,0
LRP1,ADAM10,0.2,0.0,0.0,189,0.07933431101245493,0.2161859975089397,0
LRP1,BACE1,0.2,0.0,0.0,181,0.45209303801123585,0.6659208262597934,0
LRP1,GGA1,0.4,0.0,0.0,189,0.2799993255981077,0.5104938660662433,0
OSBP,SEC23A,0.4,0.0,0.0,189,0.8187396569589022,0.9075520943239357,0
LRP1,SORT1,0.2,0.0,0.0,189,0.5637474509054784,0.7500009275490465,0
AP2A1,BIN1,0.4,0.0,0.0,189,0.0018810675500160318,0.01206096252657338,0
AP2A1,SEC16A,0.4,0.0,0.0,189,0.0237431949567773,0.08822755398711564,0
TMED2,SEC24A,0.6,0.0,0.0,189,0.1214603648440186,0.2931183712471888,0
TMED2,SEC24B,0.6,0.0,0.0,189,0.003953396498845666,0.02228897681245746,0
TMED2,SEC24C,0.6,0.0,0.0,189,0.0039004980223702255,0.02228897681245746,0
TMED2,SEC24D,0.4,0.0,0.0,189,0.12994534421558684,0.3079139678151949,0
TMED2,TMED9,0.8,0.0,0.0,189,1.4345020769157004e-10,6.254429055352454e-09,0
TMED9,COPA,1.0,0.0,0.0,189,2.791045620971698e-05,0.0003384538448906004,0
AP1G1,APP,0.6,0.0,0.0,189,0.15283406048608797,0.3488308642011158,0
PICALM,HSPA5,0.4,0.0,0.0,189,0.05268280088202143,0.16485431472173215,0
TMED2,HSPA5,0.2,0.0,0.0,189,0.012492831465132635,0.054468745187978285,0
TMED2,NCSTN,0.6,0.0,0.0,189,0.007632809933501018,0.03753276463541102,0
TMED2,PREB,0.6,0.0,0.0,189,0.5000483580518409,0.6982896085079618,0
TMED2,RAB1A,0.6,0.0,0.0,189,0.0007596684523793865,0.005844978445366103,0
TMED2,RAB1B,0.6,0.0,0.0,189,0.008945150388267835,0.04239223444874756,0
TMED2,SEC16A,0.6,0.0,0.0,189,0.26762780370206724,0.4971593786584447,0
ADAM17,NCSTN,0.2,0.0,0.0,189,0.7103260675759879,0.8290929879566462,0
LRP1,VLDLR,0.2,0.0,0.0,189,0.2773803169832535,0.5095694587276623,0
PICALM,BACE1,0.6,0.0,0.0,181,0.8400912341655915,0.9227832356104951,0
PICALM,BIN1,0.4,0.0,0.0,189,0.026233264326167176,0.09618793592040065,0
AP1G1,ARF6,0.4,0.0,0.0,189,0.7451204903153577,0.8592715579939698,0
COPG1,HSPA5,0.2,0.0,0.0,189,0.0641065464579666,0.18633636170448956,0
COPG1,SEC23A,0.2,0.0,0.0,189,3.356738831043375e-06,5.226921894053256e-05,0
COPG2,AP2B1,0.2,0.0,0.0,189,0.019752915346693843,0.07644027595702824,0
SAR1B,RAB1B,0.6,0.0,0.0,189,0.7111944437976736,0.8290929879566462,0
SAR1B,SAR1A,0.4,0.0,0.0,189,0.8623378853865165,0.9306418763082207,0
SAR1B,SEC24A,0.6,0.0,0.0,189,0.4956380422245057,0.6982896085079618,0
SAR1B,SEC24B,0.6,0.0,0.0,189,0.004271058063490632,0.023671796385787064,0
SAR1B,SEC24D,0.6,0.0,0.0,189,0.8521980913513136,0.9273503356801317,0
COPE,SEC16A,0.2,0.0,0.0,189,0.9899094580811393,0.990993997637853,0
RAB1A,SEC24B,0.6,0.0,0.0,189,0.6118823603965928,0.7695597378834071,0
SEC16A,PREB,0.6,0.0,0.0,189,0.2102120302421424,0.4289649175563961,0
SEC16A,RAB1A,0.6,0.0,0.0,189,0.4131190176310324,0.6327396663482323,0
SEC16A,RAB1B,0.6,0.0,0.0,189,0.4803958247021116,0.6868229091823811,0
SEC16A,SAR1B,0.6,0.0,0.0,189,0.9241710533514442,0.9582768382832245,0
SEC16A,SEC13,0.8,0.0,0.0,189,0.7564505109242992,0.8633833056622892,0
SEC16A,SEC23A,0.8,0.0,0.0,189,0.08046829782622165,0.21739489221321517,0
SEC16A,SEC24B,0.8,0.0,0.0,189,0.5937298223238151,0.7649971482226589,0
SEC16A,SEC24C,0.8,0.0,0.0,189,0.5903536244610154,0.7649971482226589,0
COPE,PREB,0.2,0.0,0.0,189,3.4117832287862495e-05,0.00040569204211385584,0
COPE,TMED10,1.0,0.0,0.0,189,0.0003301864378390774,0.0029581086348870766,0
SEC13,GORASP1,0.2,0.0,0.0,52,0.06710935691177174,0.1902481145316649,0
SEC13,HSPA5,0.2,0.0,0.0,189,0.2783956450034204,0.5100021059726525,0
SEC13,HSPA9,0.2,0.0,0.0,189,0.1653099910658652,0.36898544080913254,0
SEC13,PICALM,0.2,0.0,0.0,189,0.8610214543700532,0.9306418763082207,0
SEC13,PREB,0.4,0.0,0.0,189,0.6938989169729505,0.821891250794197,0
SEC13,PSEN1,0.2,0.0,0.0,189,0.842766192315764,0.9227832356104951,0
SEC13,SAR1B,0.6,0.0,0.0,189,0.5914780493235879,0.7649971482226589,0
SEC13,SEC23A,0.8,0.0,0.0,189,4.854911190889957e-05,0.0005381545625155987,0
COPG2,COPB2,1.0,0.0,0.0,189,0.014274191992553047,0.060618971189153846,0
COPG1,COPZ1,1.0,0.0,0.0,189,0.7404568552421013,0.8555808892726753,0
COPG2,COPZ1,1.0,0.0,0.0,189,0.22205404796652686,0.4361061482585843,0
SAR1B,TMED2,0.6,0.0,0.0,189,0.015262191054536349,0.06398380095940238,0
