region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
ageDeath <= 86 (lower half)  AND  lastMMSE > 25 (upper half),2,43,0.53384,0.53576,0.01108,-0.17252,0.57214,0.75678,False
celltype_astrocyte > -0.0155 (upper half),1,95,0.53941,0.54042,0.00581,-0.17362,0.57214,0.75678,False
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal > 11.8 (high third),2,41,0.53376,0.53576,0.01108,-0.18028,0.57214,0.75678,False
ageDeath <= 86 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,47,0.53445,0.53629,0.00985,-0.18706,0.55224,0.75678,False
pmi <= 3 (lower half),1,117,0.53956,0.54052,0.00504,-0.18968,0.53731,0.75678,False
CERAD = 3  AND  TangleTotal > 11.8 (high third),2,60,0.53617,0.53789,0.00872,-0.19711,0.57711,0.75678,False
CERAD = 3  AND  celltype_astrocyte > 0.251 (high third),2,45,0.53335,0.53576,0.01108,-0.2175,0.57711,0.75678,False
CERAD = 3  AND  apoeGenotype = e3-4,2,44,0.53312,0.53576,0.01108,-0.2377,0.59204,0.76198,False
CERAD = 3  AND  celltype_neuron > 0.0182 (upper half),2,46,0.53359,0.53629,0.00985,-0.27425,0.59204,0.76198,False
pmi 2.5-3.25 (middle third),1,66,0.53536,0.53774,0.00761,-0.31292,0.60697,0.77402,False
sex = female,1,81,0.53775,0.54005,0.00627,-0.36592,0.65174,0.81394,False
ageDeath 82-88 (middle third),1,54,0.53263,0.53629,0.00985,-0.37168,0.65672,0.81394,False
pmi > 3.25 (high third),1,59,0.53451,0.53789,0.00872,-0.38724,0.66169,0.81394,False
CERAD = 3  AND  lastMMSE <= 18 (low third),2,61,0.53448,0.53789,0.00872,-0.39108,0.66169,0.81394,False
celltype_astrocyte <= -0.0155 (lower half),1,95,0.5379,0.54042,0.00581,-0.43301,0.67662,0.825,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal > 13.5 (high third),2,47,0.5315,0.53629,0.00985,-0.4866,0.70149,0.84058,False
