region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,70,0.60144,0.59085,0.01304,0.8117,0.20398,0.4548,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,77,0.60636,0.59548,0.01378,0.78946,0.18408,0.44326,False
celltype_astrocyte > 0.235 (high third)  AND  dcfdx_lv = 1,2,52,0.59663,0.58435,0.01562,0.78624,0.20398,0.4548,False
celltype_neuron > 0.0321 (upper half)  AND  age_death > 89.4 (upper half),2,94,0.60514,0.59593,0.01201,0.7662,0.23383,0.50635,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron -0.149-0.194 (middle third),2,67,0.60022,0.59085,0.01304,0.71835,0.23881,0.50979,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,68,0.59998,0.59085,0.01304,0.70008,0.23881,0.50979,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia -0.284-0.197 (middle third),2,42,0.59009,0.57936,0.01553,0.69101,0.24378,0.51675,False
pmi 5.67-7.61 (middle third),1,131,0.61355,0.60656,0.01017,0.68718,0.23383,0.50635,False
cogdx = 1,1,168,0.61705,0.61085,0.00916,0.67726,0.25373,0.53037,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial <= -0.043 (lower half),2,53,0.59471,0.58435,0.01562,0.6634,0.25373,0.53037,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial -0.263-0.217 (middle third),2,67,0.5992,0.59085,0.01304,0.64008,0.25871,0.53336,False
celltype_neuron > 0.0321 (upper half)  AND  msex = 0,2,130,0.61277,0.60656,0.01017,0.61095,0.25871,0.53336,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,108,0.60895,0.60227,0.01113,0.60028,0.26368,0.53992,False
celltype_neuron > 0.194 (high third)  AND  Study = MAP,2,81,0.60364,0.59548,0.01378,0.59191,0.27363,0.55651,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia -0.284-0.197 (middle third),2,62,0.59747,0.58907,0.01434,0.58544,0.28856,0.5592,False
