region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
PMI <= 6.83 (lower half)  AND  apoeGenotype = 33,2,188,154,0.64232,0.63216,1.25822,0.10945,1.15386,0.27938,0.34204,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte > 0.0206 (upper half),2,270,194,0.64442,0.63496,1.15158,0.15423,1.15312,0.2857,0.38816,False
PMI <= 6.83 (lower half)  AND  bScore = Braak Stage III-IV,2,150,139,0.64152,0.63143,0.98821,0.18408,1.14774,0.27938,0.41108,False
PMI <= 6.83 (lower half)  AND  amyThal = Phase 5,2,73,42,0.62722,0.60846,1.21799,0.1194,1.14009,0.27574,0.34807,False
PMI <= 5.17 (low third)  AND  ageDeath <= 79 (low third),2,72,50,0.62716,0.61153,1.07656,0.1194,1.13606,0.27574,0.34807,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath <= 83.6 (lower half),2,236,131,0.64231,0.63036,1.22673,0.10945,1.13214,0.27574,0.34204,False
PMI <= 6.83 (lower half)  AND  sex = male,2,165,131,0.63901,0.63036,0.88798,0.19403,1.12123,0.2857,0.41108,False
celltype_neuron <= 0.103 (lower half)  AND  dataContributionGroup = Emory,2,59,57,0.62809,0.61572,0.82133,0.18905,1.10343,0.29479,0.41108,False
ageDeath > 83.6 (upper half),1,481,374,0.64629,0.64145,1.00254,0.1592,1.10136,0.32699,0.39215,False
race = White  AND  celltype_oligodendrocyte > -0.11 (upper half),2,222,180,0.64278,0.6356,0.89869,0.17413,1.09562,0.27938,0.40812,False
celltype_astrocyte <= -0.213 (low third),1,322,209,0.64486,0.63708,0.98494,0.16418,1.08585,0.2857,0.39215,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial -0.298-0.239 (middle third),2,150,128,0.64075,0.63036,1.06698,0.16418,1.08142,0.31833,0.39215,False
cohort = MAP,1,69,69,0.62622,0.61761,0.64544,0.29353,1.0668,0.30378,0.5096,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte > 0.236 (high third),2,140,86,0.63773,0.62506,1.12279,0.12935,1.05607,0.27938,0.3515,False
PMI <= 6.83 (lower half)  AND  ageDeath 79-87.7 (middle third),2,130,107,0.63604,0.6269,0.83909,0.20896,1.04504,0.31113,0.43292,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,126,108,0.63594,0.6269,0.82926,0.20896,1.0362,0.31833,0.43292,False
PMI <= 5.17 (low third)  AND  ADoutcome = AD,2,166,129,0.63848,0.63036,0.83376,0.19403,1.03444,0.35219,0.41108,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia <= -0.289 (low third),2,92,68,0.63263,0.61761,1.12621,0.1194,1.02787,0.35219,0.34807,False
race = White  AND  amyAny = 0,2,89,89,0.632,0.62506,0.61457,0.28358,0.98513,0.35219,0.49926,False
