region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
educ <= 14 (low third)  AND  celltype_neuron > 0.0321 (upper half),2,77,0.5852,0.56979,0.01307,1.17941,0.12935,0.36926,False
educ <= 14 (low third)  AND  braaksc 3-4 (middle third),2,57,0.58055,0.56586,0.01248,1.17688,0.12438,0.36926,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_endothelial <= -0.043 (lower half),2,72,0.58353,0.56884,0.01271,1.15542,0.12935,0.36926,False
educ <= 14 (low third)  AND  age_at_visit_max 85.7-90 (middle third),2,114,0.58969,0.57772,0.01037,1.15371,0.13433,0.37388,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  pmi 5.67-7.61 (middle third),2,69,0.58343,0.56884,0.01271,1.1477,0.12935,0.36926,False
celltype_microglia <= -0.077 (lower half),1,200,0.5965,0.58737,0.00802,1.13884,0.14428,0.38245,False
apoe_genotype = 33  AND  cts_mmse30_lv <= 26 (lower half),2,142,0.59294,0.58165,0.00994,1.13578,0.14428,0.38245,False
ceradsc = 4  AND  celltype_astrocyte <= -0.186 (low third),2,41,0.57446,0.55707,0.01541,1.12869,0.13433,0.37388,False
educ <= 14 (low third)  AND  cts_mmse30_lv > 26 (upper half),2,73,0.58303,0.56884,0.01271,1.116,0.1393,0.37827,False
educ <= 14 (low third)  AND  age_death <= 89.4 (lower half),2,70,0.58301,0.56884,0.01271,1.11431,0.1393,0.37827,False
celltype_endothelial > 0.217 (high third),1,133,0.59176,0.58092,0.00974,1.11225,0.12438,0.36926,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  msex = 1,2,54,0.57668,0.56094,0.01428,1.10223,0.12935,0.36926,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  braaksc <= 3 (low third),2,90,0.58536,0.57315,0.01119,1.09084,0.14428,0.38245,False
educ <= 14 (low third)  AND  pmi <= 6.5 (lower half),2,70,0.58259,0.56884,0.01271,1.08094,0.1393,0.37827,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  ceradsc = 1,2,52,0.57637,0.56094,0.01428,1.08056,0.13433,0.37388,False
apoe_genotype = 33  AND  dcfdx_lv = 1,2,108,0.58885,0.57772,0.01037,1.07221,0.1592,0.39981,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  dcfdx_lv = 1,2,65,0.5789,0.56586,0.01248,1.0449,0.1592,0.39981,False
educ <= 14 (low third)  AND  cts_mmse30_lv <= 26 (lower half),2,85,0.58341,0.56979,0.01307,1.04185,0.16915,0.40671,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_endothelial <= -0.263 (low third),2,43,0.57297,0.55707,0.01541,1.03197,0.15423,0.39981,False
apoe_genotype = 33  AND  pmi <= 5.67 (low third),2,83,0.58311,0.56979,0.01307,1.01919,0.17413,0.40671,False
apoe_genotype = 33  AND  cogdx = 4,2,72,0.5817,0.56884,0.01271,1.01131,0.1592,0.39981,False
apoe_genotype = 33  AND  age_at_visit_max > 88.9 (upper half),2,130,0.59073,0.58092,0.00974,1.00645,0.1592,0.39981,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  pmi 5.67-7.61 (middle third),2,51,0.57521,0.56094,0.01428,0.99935,0.15423,0.39981,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_microglia > 0.197 (high third),2,55,0.57831,0.56586,0.01248,0.99731,0.16915,0.40671,False
