region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_neuron -0.0632-0.277 (middle third),2,141,0.63364,0.62091,0.01264,1.00682,0.15423,0.29074,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ADoutcome = Control,2,68,0.62292,0.60589,0.01728,0.98601,0.199,0.35365,False
PMI 5.17-10 (middle third)  AND  dataContributionGroup = MSSM,2,67,0.62291,0.60589,0.01728,0.98493,0.199,0.35365,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_microglia > 0.179 (high third),2,100,0.62905,0.61518,0.01441,0.96274,0.18905,0.34251,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  Braak = Stage III,2,47,0.61396,0.59712,0.0176,0.95683,0.16915,0.31674,False
ADoutcome = Other  AND  PMI > 6.83 (upper half),2,80,0.6238,0.608,0.01655,0.95431,0.17413,0.32174,False
PMI 5.17-10 (middle third)  AND  cohort = ROS,2,55,0.61728,0.60113,0.01702,0.94851,0.20398,0.35766,False
PMI 5.17-10 (middle third)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,87,0.62811,0.61275,0.01629,0.94265,0.19403,0.34925,False
PMI 5.17-10 (middle third)  AND  celltype_endothelial <= -0.0425 (lower half),2,130,0.6319,0.62014,0.01282,0.91749,0.18905,0.34251,False
ADoutcome = Other  AND  PMI <= 5.17 (low third),2,51,0.61287,0.59712,0.0176,0.89533,0.18408,0.33788,False
ADoutcome = Other  AND  ageDeath 79-87.7 (middle third),2,59,0.61619,0.60113,0.01702,0.88492,0.20896,0.35766,False
ADoutcome = Other  AND  celltype_oligodendrocyte > 0.323 (high third),2,64,0.61619,0.60113,0.01702,0.88482,0.20896,0.35766,False
ageDeath 79-87.7 (middle third),1,303,0.64042,0.63367,0.00794,0.84981,0.20896,0.35766,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_neuron <= 0.103 (lower half),2,141,0.63141,0.62091,0.01264,0.8306,0.20896,0.35766,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ADoutcome = AD,2,195,0.63749,0.62809,0.01154,0.81412,0.20398,0.35766,False
PMI 5.17-10 (middle third)  AND  cohort = Mt Sinai Brain Bank,2,73,0.61987,0.60589,0.01728,0.80897,0.21891,0.37241,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_endothelial > -0.0425 (upper half),2,179,0.63602,0.62702,0.01145,0.78551,0.23383,0.38833,False
PMI 5.17-10 (middle third)  AND  celltype_endothelial > 0.239 (high third),2,93,0.62533,0.61275,0.01629,0.77237,0.22886,0.38234,False
celltype_microglia <= -0.0479 (lower half),1,482,0.64318,0.63866,0.00589,0.76839,0.23881,0.39192,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_endothelial > 0.239 (high third),2,117,0.62825,0.61752,0.01399,0.76711,0.23881,0.39192,False
PMI 5.17-10 (middle third)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,103,0.62562,0.61518,0.01441,0.72446,0.28856,0.45229,False
celltype_neuron <= -0.0632 (low third),1,322,0.63987,0.6341,0.00802,0.71996,0.22388,0.37856,False
ADoutcome = Other  AND  ageDeath <= 79 (low third),2,75,0.61957,0.608,0.01655,0.69876,0.25373,0.40452,False
race = White,1,465,0.64139,0.63759,0.00567,0.67014,0.22886,0.38234,False
PMI 5.17-10 (middle third)  AND  Braak = Stage III,2,48,0.60882,0.59712,0.0176,0.66484,0.24378,0.39775,False
apoeGenotype = 44,1,58,0.61175,0.60113,0.01702,0.624,0.25373,0.40452,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  amyCerad = None/No AD/C0,2,58,0.61174,0.60113,0.01702,0.623,0.25373,0.40452,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  amyAny = 0,2,58,0.61174,0.60113,0.01702,0.623,0.25373,0.40452,False
ADoutcome = Other  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,99,0.62394,0.61518,0.01441,0.60759,0.29353,0.45498,False
ADoutcome = Other  AND  ageDeath <= 83.6 (lower half),2,109,0.62382,0.61579,0.01355,0.5923,0.28856,0.45229,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_microglia > -0.0479 (upper half),2,153,0.63125,0.62426,0.01188,0.58848,0.29851,0.4576,False
PMI <= 6.83 (lower half),1,409,0.64109,0.63713,0.00691,0.5737,0.29851,0.4576,False
Braak = Stage III,1,160,0.62814,0.62163,0.0118,0.55125,0.28856,0.45229,False
derivedOutcomeBasedOnMayoDx = FALSE,1,679,0.6431,0.64113,0.00376,0.52509,0.31841,0.47761,False
PMI 5.17-10 (middle third)  AND  Braak = Stage V,2,56,0.60986,0.60113,0.01702,0.51297,0.30846,0.46772,False
PMI 5.17-10 (middle third)  AND  celltype_endothelial <= -0.298 (low third),2,84,0.61639,0.608,0.01655,0.50684,0.30348,0.46269,False
celltype_endothelial -0.298-0.239 (middle third),1,321,0.63794,0.6341,0.00802,0.47924,0.29353,0.45498,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_neuron <= -0.0632 (low third),2,82,0.6155,0.608,0.01655,0.45265,0.31841,0.47761,False
ADoutcome = Other  AND  celltype_astrocyte <= -0.213 (low third),2,78,0.61498,0.608,0.01655,0.42155,0.32836,0.4899,False
PMI 5.17-10 (middle third)  AND  celltype_astrocyte <= 0.0206 (lower half),2,134,0.62513,0.62014,0.01282,0.38893,0.35821,0.526,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ageDeath > 83.6 (upper half),2,169,0.63099,0.62669,0.01146,0.3743,0.34826,0.51683,False
ADoutcome = Other  AND  celltype_oligodendrocyte <= -0.482 (low third),2,71,0.61232,0.60589,0.01728,0.37193,0.36318,0.52775,False
celltype_neuron > 0.103 (upper half),1,482,0.64065,0.63866,0.00589,0.3384,0.36318,0.52775,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  Braak = Stage VI,2,79,0.61356,0.608,0.01655,0.33575,0.35821,0.526,False
sex = female,1,567,0.64167,0.64009,0.00481,0.328,0.37811,0.54659,False
cohort = Emory,1,97,0.61981,0.61518,0.01441,0.32103,0.41294,0.59082,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  amyCerad = Frequent/Definite/C3,2,132,0.62394,0.62014,0.01282,0.29606,0.40299,0.57955,False
ageDeath > 83.6 (upper half),1,481,0.64023,0.63866,0.00589,0.26716,0.41791,0.59488,False
ADoutcome = Other  AND  race = Black or African American,2,62,0.60476,0.60113,0.01702,0.21298,0.44776,0.62531,False
ADoutcome = Other  AND  celltype_endothelial -0.298-0.239 (middle third),2,63,0.60432,0.60113,0.01702,0.18747,0.44776,0.62531,False
PMI > 6.83 (upper half),1,409,0.6381,0.63713,0.00691,0.14136,0.47264,0.6464,False
ADoutcome = Other  AND  celltype_astrocyte <= 0.0206 (lower half),2,107,0.61743,0.61579,0.01355,0.1211,0.44776,0.62531,False
ADoutcome = Other  AND  celltype_microglia -0.289-0.179 (middle third),2,65,0.60311,0.60113,0.01702,0.11628,0.45274,0.62531,False
reag = Low Likelihood,1,191,0.6275,0.62634,0.01073,0.10758,0.45274,0.62531,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  Braak = Stage IV,2,53,0.59839,0.59712,0.0176,0.07196,0.47264,0.6464,False
ADoutcome = AD,1,560,0.63933,0.63901,0.00512,0.06337,0.45274,0.62531,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_microglia -0.289-0.179 (middle third),2,116,0.61763,0.61752,0.01399,0.00773,0.48756,0.66356,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_endothelial <= -0.298 (low third),2,83,0.60807,0.608,0.01655,0.00433,0.49751,0.67056,False
PMI 5.17-10 (middle third)  AND  amyAny = 0,2,54,0.59682,0.59712,0.0176,-0.01709,0.51741,0.69071,False
PMI 5.17-10 (middle third)  AND  amyCerad = None/No AD/C0,2,54,0.59682,0.59712,0.0176,-0.01709,0.51741,0.69071,False
PMI <= 5.17 (low third),1,274,0.63141,0.63177,0.0089,-0.04019,0.49254,0.66708,False
PMI 5.17-10 (middle third)  AND  celltype_oligodendrocyte > 0.323 (high third),2,81,0.60733,0.608,0.01655,-0.0404,0.53731,0.71048,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  reag = High Likelihood,2,102,0.61427,0.61518,0.01441,-0.06337,0.53234,0.70725,False
celltype_neuron > 0.277 (high third),1,321,0.63336,0.6341,0.00802,-0.09218,0.56219,0.72954,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  bScore = Braak Stage V-VI,2,152,0.62293,0.62426,0.01188,-0.11193,0.54229,0.71367,False
cohort = ROS,1,188,0.62504,0.62634,0.01073,-0.12124,0.56219,0.72954,False
celltype_microglia > 0.179 (high third),1,321,0.63302,0.6341,0.00802,-0.13407,0.60697,0.77326,False
