source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SEC24B,SEC23A,0.4,0.0943,0.218,400,1.850311292080878e-06,1.383711053208309e-05,1
SAR1A,SEC31A,0.3,0.094,0.203,400,1.4891108867295047e-10,2.8458563613052756e-09,1
NCSTN,PSEN1,0.6,0.0936,-0.0006,384,0.002159609571084242,0.0077386009630518665,1
PSEN1,TMED10,0.4,0.0925,-0.0573,400,2.9215880786150186e-06,2.1158448400917186e-05,1
APBA1,AP2A1,0.3,0.0925,0.0843,400,2.8951057741629264e-10,5.2416651911160354e-09,1
ARF6,RAB1B,0.3,0.0917,0.2724,400,4.2531443316995715e-10,7.1369836590470855e-09,1
LRP1,BACE1,0.5,0.0907,0.1537,400,0.0002648865677381415,0.0011989602539726404,1
EIF2S1,APP,0.3,0.0896,1.1784,312,7.605533439504045e-08,7.928192433907247e-07,1
ITPR1,MFN2,0.4,0.0888,-0.1798,400,7.322501145613749e-06,4.844116142482942e-05,1
COPA,COPE,0.6,0.0878,0.2073,400,0.003341628806954127,0.011495203095922198,1
CLU,APOE,0.3,0.0855,0.7426,400,6.389134771356171e-09,8.293820231496313e-08,1
EIF2S1,TMED10,0.3,0.0836,-0.0968,400,1.4358471932192538e-08,1.7961143071542666e-07,1
SEC23A,SEC24A,0.6,0.0829,-0.0003,400,0.005648255140594812,0.018244129280418925,1
TMED10,SAR1A,0.4,0.0823,0.0568,400,3.3814475369482695e-05,0.00019069146765741062,1
APP,SORL1,0.3,0.0822,0.0472,312,8.76936379549783e-07,7.448546038645071e-06,1
TMED2,COPG1,0.6,0.0794,-0.0028,400,0.00806413989652057,0.024017871206953038,1
PICALM,SORL1,0.3,0.0767,0.2332,400,2.205007167255393e-07,2.1366830015094512e-06,1
TMED2,BACE1,0.6,0.0748,-0.2559,400,0.012599850822138475,0.035238607177362886,1
SEC23A,TMED10,0.3,0.0731,-0.1769,400,8.201561078885808e-07,7.196056780911977e-06,1
SAR1A,SEC24B,0.6,0.0716,0.1142,400,0.016999557037316215,0.04533215209950991,1
SEC16A,SAR1B,0.6,0.0704,-0.1172,400,0.018841822174132623,0.049171708594821235,1
MAP2K3,BACE1,0.3,0.0703,0.5206,352,8.980612496197853e-06,5.884439426080117e-05,1
OSBP,TMED10,0.4,0.07,-0.0834,400,0.0004377698581531707,0.0018942494491156064,1
VPS35,SNX6,0.4,0.0692,-0.1295,400,0.0005127369003890805,0.0021509938260224843,1
COPA,TMED10,0.4,0.069,0.0445,400,0.0005267235983278052,0.0021830472027080114,1
ADAM10,BACE1,0.3,0.068,0.0843,400,4.674093970674691e-06,3.31523366167442e-05,1
HSPA9,TMED10,0.4,0.0676,-0.0429,400,0.0006945259756613014,0.002810787477970443,1
SEC16A,TMED10,0.4,0.0668,0.0586,400,0.0007993911156068765,0.003179081430852781,1
SEC24D,SAR1A,0.6,0.0648,0.0148,392,0.03246230988541713,0.07674937869816834,0
ITPR2,MFN2,0.4,0.0646,-0.0786,400,0.0011798830533782036,0.004534969501252537,1
VPS35,SNX4,0.4,0.0641,0.0953,400,0.0013111412529111623,0.0049025281630591284,1
RTN4,APP,0.4,0.0635,-0.0637,264,0.009790213115689228,0.028182705538051,1
SEC24D,SEC31A,0.4,0.0599,0.0183,392,0.0029609802012633504,0.010288658477117097,1
ITPR2,ITPR1,0.3,0.0598,0.0826,400,5.9278355788736266e-05,0.00032367864113214725,1
COPA,COPZ1,0.6,0.0598,0.0805,400,0.04646450226766083,0.10207996757197543,0
MAPK14,MAP2K3,0.3,0.0594,0.252,328,0.0003092762184383252,0.0013817015473088815,1
TMED10,SEC13,0.3,0.0592,-0.1196,400,7.087307222473319e-05,0.0003809427632079409,1
VPS35,GGA1,0.3,0.0585,0.0435,400,8.634026977752197e-05,0.0004432992955741426,1
VPS26A,SNX4,0.3,0.0583,0.1778,400,9.095665564772538e-05,0.0004601336697473166,1
SEC23A,TMED2,0.3,0.0582,0.128,400,9.38291786772416e-05,0.00046594393535641365,1
SYK,MAP2K3,0.3,0.0578,0.0638,312,0.0006226095889137366,0.002549734506980064,1
SAR1B,TMED10,0.4,0.0577,0.0892,400,0.003817387527320669,0.012937746890623747,1
TMED2,COPG2,0.6,0.0565,-0.0059,400,0.05989961737411283,0.1264139164214406,0
GGA2,GGA3,0.3,0.0561,0.1595,400,0.0001697099611597605,0.0008108364810966335,1
TMED10,COPB1,0.6,0.056,0.215,400,2.0401131799262364e-10,3.793507750781759e-09,1
LRP1,PICALM,0.3,0.055,-0.2192,400,0.0002293221762148989,0.0010660382245665572,1
TMED2,SAR1A,0.4,0.0547,0.087,400,0.006197492132624582,0.019469746973724715,1
SEC24C,SAR1A,0.3,0.0545,0.2557,400,0.00026163811802899334,0.0011989602539726404,1
CLU,LRP1,0.5,0.0532,0.0441,400,0.03343845170936201,0.07825052644911926,0
TMED10,COPB2,0.5,0.0529,0.0401,400,3.5820486412412365e-13,1.0714997674669438e-11,1
GORASP1,COPA,0.5,0.0528,0.0232,264,0.08679652103259013,0.16680448734754752,0
