version,variable,from_bucket,to_bucket,protein,beta,se,z,p,n,strata,strata_same_sign,q
nocell,amyThal,2,3,EIF2S1,-0.3235488914609597,0.3031242771967076,-1.0673803314374517,0.2858001264061788,272.0,2.0,2.0,0.8165717897319394
nocell,amyThal,3,4,EIF2S1,0.2470197919013993,0.22759874373227115,1.0853302081138616,0.27777543120818415,272.0,2.0,2.0,0.7091989358252102
nocell,amyThal,4,5,EIF2S1,-0.03413199120742631,0.19824356469015825,-0.17217200094627227,0.863302309167763,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,GGA1,0.33639159857297074,0.3282035007710437,1.0249482341982667,0.30538761377055135,272.0,2.0,2.0,0.6264361308113874
nocell,amyThal,2,3,GGA1,-0.2736209644011361,0.3000230662089797,-0.9119997600802687,0.3617688438574106,272.0,2.0,1.0,0.8208430460705229
nocell,amyThal,3,4,GGA1,0.32597820246372394,0.21983119881508703,1.4828568657259764,0.13811244374183634,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,GGA1,-0.23573809817269142,0.19275964001061463,-1.2229639885180845,0.2213432981207959,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,GGA2,0.13578700681756126,0.3350770918326498,0.4052410926539211,0.6853003021570121,272.0,2.0,2.0,0.911973599985102
nocell,amyThal,2,3,GGA2,-0.1220942161746438,0.30701265968538116,-0.3976846306590838,0.6908626679914305,272.0,2.0,1.0,0.9097266166124887
nocell,amyThal,3,4,GGA2,0.27093614629033635,0.22163040149725977,1.2224683277203114,0.2215305740465443,272.0,2.0,1.0,0.6816325355278287
nocell,amyThal,4,5,GGA2,-0.2033397871443221,0.19510572220075745,-1.0422030930240584,0.29731752935254196,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,GGA3,0.08463465258891523,0.3367938458853031,0.25129512793335895,0.8015859416836194,272.0,2.0,1.0,0.9170706943036082
nocell,amyThal,2,3,GGA3,-0.019122297525691084,0.3078602466794834,-0.06211356526846258,0.9504723943361677,272.0,2.0,2.0,0.9625036904670052
nocell,amyThal,3,4,GGA3,0.21680270177293062,0.22564831033835808,0.960799136708963,0.33665317275264506,272.0,2.0,2.0,0.7481181616725446
nocell,amyThal,4,5,GGA3,-0.19123060969309427,0.19784282188223648,-0.96657845795852,0.33375480787122747,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,GORASP1,0.4686578763158287,0.36274759931941913,1.291966858485395,0.19636862204727745,261.0,2.0,1.0,0.5876508208627079
nocell,amyThal,2,3,GORASP1,-0.4018884907141943,0.34069659024253346,-1.1796081975111634,0.23815608106442598,261.0,2.0,1.0,0.8003569411942777
nocell,amyThal,3,4,GORASP1,-0.44320956598941275,0.24642944309569015,-1.7985252103877523,0.07209381725214563,261.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,GORASP1,0.07558595515957008,0.2194219283227947,0.3444776724793636,0.7304870845032234,261.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,HSPA5,0.3231982149225089,0.3691860952673149,0.8754344192960253,0.38133757874948226,272.0,2.0,2.0,0.7263572928561567
nocell,amyThal,2,3,HSPA5,-0.08752380528382682,0.3368970875203981,-0.2597938911494078,0.7950227633671445,272.0,2.0,2.0,0.9353208980789935
nocell,amyThal,3,4,HSPA5,-0.004476936187305968,0.24971823047679786,-0.01792795094998855,0.985696330961386,272.0,2.0,1.0,0.985696330961386
nocell,amyThal,4,5,HSPA5,-0.18178243799220048,0.21828302143715153,-0.8327832224208955,0.40496699861446994,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,HSPA9,0.3735274931310638,0.35158246335113114,1.062417873664011,0.28804602312867744,272.0,2.0,2.0,0.6125751888448999
nocell,amyThal,2,3,HSPA9,-0.13489982685572563,0.3217949806583423,-0.4192104755013321,0.675062316932263,272.0,2.0,1.0,0.9097266166124887
nocell,amyThal,3,4,HSPA9,0.07474403372297683,0.2338841808283979,0.3195771234216859,0.7492889184983296,272.0,2.0,2.0,0.8800593251888503
nocell,amyThal,4,5,HSPA9,-0.13875747796478416,0.20552473419049486,-0.6751376106205004,0.4995883402474065,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,IDE,-0.051173236502652236,0.284632639234415,-0.17978695851710624,0.857319822382293,272.0,2.0,1.0,0.9268322404132897
nocell,amyThal,2,3,IDE,0.22797115022884185,0.2585972637358,0.8815683002034863,0.3780103038503153,272.0,2.0,1.0,0.8208430460705229
nocell,amyThal,3,4,IDE,-0.30694738807337335,0.19754692815930863,-1.5537947916144788,0.12023337332065731,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,IDE,0.1772850108461214,0.1712341272699328,1.0353369020104852,0.3005116019013001,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,ITPR1,0.45725670188050166,0.26572138229684555,1.7208125967434795,0.08528483584837743,272.0,2.0,2.0,0.5516402563689916
nocell,amyThal,2,3,ITPR1,-0.33996888382527873,0.2424859585151518,-1.4020147224484987,0.16091085036669728,272.0,2.0,2.0,0.7182848546347083
nocell,amyThal,3,4,ITPR1,0.2544539961921207,0.179715307030715,1.4158726955218799,0.15681278056571238,272.0,2.0,2.0,0.6685541516929194
nocell,amyThal,4,5,ITPR1,0.07763356295078792,0.15709763358387152,0.49417398072607377,0.6211833137479581,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,ITPR2,0.1983070855521436,0.29643553523201566,0.6689720427644804,0.5035133120839677,272.0,2.0,2.0,0.8572070119852765
nocell,amyThal,2,3,ITPR2,-0.135994444363308,0.27102248655794264,-0.501782881894685,0.6158202557060701,272.0,2.0,1.0,0.9097266166124887
nocell,amyThal,3,4,ITPR2,-0.22949082050629865,0.19839195038573856,-1.156754697255074,0.247372595524742,272.0,2.0,2.0,0.6824071600682537
nocell,amyThal,4,5,ITPR2,0.3407457700626838,0.17400522381517355,1.958250232904618,0.05020065737430467,272.0,2.0,2.0,0.9982796124437098
nocell,amyThal,1,2,LRP1,0.39638846122583293,0.32228131670776516,1.2299455186391268,0.21871750721573968,272.0,2.0,2.0,0.5876508208627079
nocell,amyThal,2,3,LRP1,-0.24394316943952793,0.29538837262369416,-0.8258387670197699,0.4088955596657423,272.0,2.0,1.0,0.8208430460705229
nocell,amyThal,3,4,LRP1,0.1592995668550717,0.2127805889888832,0.7486564804245108,0.4540642803920393,272.0,2.0,1.0,0.7896770093774595
nocell,amyThal,4,5,LRP1,0.20138757037789443,0.18742065035535008,1.0745217775952811,0.2825888895449119,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,MAP2K3,-0.02633548437073424,0.32091791397378133,-0.08206299250993455,0.9345966215283732,272.0,2.0,1.0,0.9905146843655693
nocell,amyThal,2,3,MAP2K3,0.19373057936076166,0.29144408628581786,0.6647264037149513,0.5062255026549636,272.0,2.0,1.0,0.8852736224651625
nocell,amyThal,3,4,MAP2K3,0.010228385453962778,0.22328252261158515,0.045809162913103316,0.9634623555307729,272.0,2.0,1.0,0.9756580815501497
nocell,amyThal,4,5,MAP2K3,-0.04867188462947845,0.19338247286650664,-0.2516871560696041,0.8012828854561637,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,MAPK14,0.0894567140399816,0.3079650590355817,0.29047682980700074,0.7714514741387046,272.0,2.0,1.0,0.9170706943036082
nocell,amyThal,2,3,MAPK14,-0.1213352053017977,0.2809503598027491,-0.4318741765875839,0.6658328641620536,272.0,2.0,2.0,0.9097266166124887
nocell,amyThal,3,4,MAPK14,-0.22904467030565992,0.2086458748760695,-1.0977675472458144,0.2723060057624942,272.0,2.0,2.0,0.7091989358252102
nocell,amyThal,4,5,MAPK14,0.1676212237029256,0.18228612344692322,0.9195501036135225,0.35780791140828416,272.0,2.0,1.0,0.9982796124437098
nocell,amyThal,1,2,MAPKAPK2,-0.07254996926407116,0.3338037687448855,-0.2173431700213024,0.8279409162610882,272.0,2.0,1.0,0.9170706943036082
