version,variable,cohort,protein,from_bucket,to_bucket,beta,se,n,p
cell,sex,ROSMAP,PLCG2,female,male,0.0677528401167289,0.10859812132642943,342,0.5327024999568261
cell,sex,ROSMAP,PLG,female,male,-0.13839217600117104,0.11021811885793491,398,0.20925344221024722
cell,sex,ROSMAP,PREB,female,male,0.18571443886626585,0.11136700979128977,398,0.0953972749278115
cell,sex,ROSMAP,PSEN1,female,male,0.07146573797462866,0.11289700778521027,398,0.5267224675521902
cell,sex,ROSMAP,RAB1A,female,male,-0.0734118557199108,0.09202884322181207,398,0.4250417814868339
cell,sex,ROSMAP,RAB1B,female,male,-0.14900970271977446,0.09932889304475875,398,0.13357173510658873
cell,sex,ROSMAP,RTN3,female,male,-0.2609527070821816,0.12996070799074255,288,0.04465015607117547
cell,sex,ROSMAP,RTN4,female,male,-0.24182905085346507,0.12192399356882616,328,0.047318188378686336
cell,sex,ROSMAP,SAR1A,female,male,0.0035831035906768293,0.1145472185092845,398,0.9750457766416057
cell,sex,ROSMAP,SAR1B,female,male,-0.19304771524339837,0.10333089611716569,398,0.06172754443056935
cell,sex,ROSMAP,SEC13,female,male,0.15504096655169924,0.11431076271494446,398,0.17500017677402613
cell,sex,ROSMAP,SEC16A,female,male,0.20142140164180175,0.11081172353904241,398,0.06911147198056805
cell,sex,ROSMAP,SEC23A,female,male,-0.13356426570416335,0.11170646302466947,398,0.23182466723881578
cell,sex,ROSMAP,SEC23B,female,male,-0.010390043783313192,0.10391477611898671,398,0.920355279851534
cell,sex,ROSMAP,SEC24A,female,male,0.0011800001493571625,0.11666415355166196,398,0.9919299303225857
cell,sex,ROSMAP,SEC24B,female,male,0.12326208572583429,0.1137923116479475,398,0.27871087064871514
cell,sex,ROSMAP,SEC24C,female,male,-0.19989727480258143,0.11112623780740871,398,0.07204548445848567
cell,sex,ROSMAP,SEC24D,female,male,0.0755276786083043,0.11443626365624161,390,0.5092552615848346
cell,sex,ROSMAP,SEC31A,female,male,-0.011665386675664685,0.11312949249655006,398,0.9178714262040919
cell,sex,ROSMAP,SIGMAR1,female,male,-0.25940235775722775,0.15759580707526089,214,0.09976420408985419
cell,sex,ROSMAP,SNX4,female,male,0.20355914822016402,0.09110475848652656,398,0.025460607733260816
cell,sex,ROSMAP,SNX6,female,male,0.13278577110176465,0.10708189326485923,398,0.2149608061576278
cell,sex,ROSMAP,SORL1,female,male,0.24410259546697108,0.10966065536967953,398,0.02601541735329774
cell,sex,ROSMAP,SORT1,female,male,-0.06413226993936606,0.09197579620165902,398,0.4856317536496808
cell,sex,ROSMAP,SREBF2,female,male,0.3574156212471278,0.141415063744595,254,0.011490316376439385
cell,sex,ROSMAP,SYK,female,male,0.0052894100662674425,0.08859911765768706,342,0.9523941875055547
cell,sex,ROSMAP,TMED10,female,male,-0.0873977440321514,0.11271628324594375,398,0.43811623798669264
cell,sex,ROSMAP,TMED2,female,male,-0.09672253574594816,0.10960734305886546,398,0.37753579617119337
cell,sex,ROSMAP,TMED9,female,male,0.03607482850627227,0.11207995721747911,398,0.7475535290035842
cell,sex,ROSMAP,VDAC1,female,male,0.1370835785594458,0.10565178451553055,398,0.19445794185353493
cell,sex,ROSMAP,VLDLR,female,male,0.1282696712393616,0.11897433644268277,366,0.28097623319684184
cell,sex,ROSMAP,VPS26A,female,male,-0.14502347917492528,0.10246468635265212,398,0.15696565771430693
cell,sex,ROSMAP,VPS29,female,male,-0.032419844598367685,0.09655526407372501,398,0.7370483481363301
cell,sex,ROSMAP,VPS35,female,male,-0.28902747471770013,0.1131868015803243,398,0.010663281388034492
cell,sex,Diverse,ABCA7,female,male,0.3093116110255822,0.3235686810925885,54,0.33910353856909947
cell,sex,Diverse,ADAM10,female,male,0.03866811364450115,0.09390304412604435,54,0.6804950759660453
cell,sex,Diverse,ADAM17,female,male,0.033720413358738974,0.204295977444406,54,0.8688993789163344
cell,sex,Diverse,AP1G1,female,male,-0.11562759072058443,0.11510670609494676,54,0.3151255152073228
cell,sex,Diverse,AP2A1,female,male,-0.10633623212688248,0.08268274147258411,54,0.19841678094973303
cell,sex,Diverse,AP2B1,female,male,-0.18277042165571594,0.09043471830228984,54,0.04327764067022295
