57 states, 2 workers, solver=lw
  [29/57] amyThal=3 n=68 ok best=0.3936 2.2s
  [30/57] amyA=2 n=68 ok best=0.3919 2.4s
  [31/57] amyA=1 n=65 ok best=0.401 2.2s
  [32/57] TangleTotal=12-15 n=63 ok best=0.3806 2.3s
  [33/57] cts_mmse30_lv=0-6 n=62 ok best=0.3755 2.3s
  [34/57] ceradsc=1 n=58 ok best=0.3747 2.2s
  [35/57] cts_mmse30_lv=12-18 n=56 ok best=0.3734 2.2s
  [36/57] amyThal=4 n=55 ok best=0.3787 2.4s
  [37/57] cts_mmse30_first_ad_dx=18-24 n=48 ok best=0.3753 2.4s
  [38/57] amyCerad=1 n=48 ok best=0.3795 2.5s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.3716 2.1s
  [40/57] TangleTotal=6-9 n=43 ok best=0.3785 2.3s
  [41/57] apoe_genotype=24 n=40 ok best=0.3751 2.0s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.3689 2.3s
  [43/57] TangleTotal=3-6 n=37 ok best=0.3736 2.3s
  [44/57] amyThal=1 n=33 ok best=0.3789 2.6s
  [45/57] reag=0 n=33 ok best=0.3804 2.6s
  [46/57] amyThal=2 n=29 ok best=0.3774 1.9s
  [47/57] cts_mmse30_lv=6-12 n=30 ok best=0.3801 2.4s
  [48/57] TangleTotal=0-3 n=24 ok best=0.3785 2.4s
  [49/57] TangleTotal=9-12 n=23 ok best=0.3737 2.4s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.3742 2.6s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.3754 2.4s
  [52/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.3872 2.4s
  [53/57] PlaqueTotal=6-9 n=15 ok best=0.3675 2.5s
  [54/57] apoe_genotype=22 n=8 ok best=0.379 2.5s
  [55/57] PlaqueTotal=3-6 n=13 ok best=0.3684 2.7s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.3831 2.3s
  [57/57] braaksc=0 n=6 ok best=0.3802 2.3s
done in 69s -> /home/claude/cw/big1/results_sweep_top5/summary.csv
57 states, 2 workers, solver=lw
  [1/57] sex=female n=941 ok best=0.3078 2.3s
  [2/57] apoe_genotype=33 n=804 ok best=0.3026 2.3s
  [3/57] sex=male n=629 ok best=0.3199 2.5s
  [4/57] amyAny=1 n=521 ok best=0.344 2.4s
  [5/57] apoe_genotype=34 n=422 ok best=0.3281 2.5s
  [6/57] cts_mmse30_lv=24-30 n=367 ok best=0.2572 2.5s
  [7/57] braaksc=4 n=360 ok best=0.2826 2.6s
  [8/57] amyCerad=3 n=333 ok best=0.3435 2.6s
  [9/57] braaksc=5 n=310 ok best=0.3057 2.2s
  [10/57] braaksc=3 n=321 ok best=0.3089 2.4s
  [11/57] amyA=3 n=277 ok best=0.3951 2.2s
  [12/57] braaksc=6 n=268 ok best=0.3703 2.4s
  [13/57] reag=3 n=244 ok best=0.3314 2.2s
  [14/57] ceradsc=3 n=219 ok best=0.24 2.3s
  [15/57] amyThal=5 n=218 ok best=0.3988 2.6s
  [16/57] reag=2 n=218 ok best=0.3292 2.5s
  [17/57] reag=1 n=197 ok best=0.2982 2.5s
  [18/57] amyCerad=0 n=171 ok best=0.337 2.6s
  [19/57] amyAny=0 n=171 ok best=0.3392 2.3s
  [20/57] ceradsc=2 n=169 ok best=0.2344 2.2s
  [21/57] apoe_genotype=23 n=158 ok best=0.2606 2.5s
  [22/57] ceradsc=0 n=144 ok best=0.213 2.4s
  [23/57] braaksc=2 n=142 ok best=0.2969 2.4s
  [24/57] amyCerad=2 n=140 ok best=0.2946 2.4s
  [25/57] braaksc=1 n=106 ok best=0.2755 2.0s
  [26/57] PlaqueTotal=12-15 n=97 ok best=0.245 2.4s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.1948 2.4s
  [28/57] apoe_genotype=44 n=68 ok best=0.285 2.5s
  [29/57] amyThal=3 n=68 ok best=0.2964 2.4s
  [30/57] amyA=2 n=68 ok best=0.2961 2.2s
  [31/57] amyA=1 n=65 ok best=0.3095 2.5s
  [32/57] TangleTotal=12-15 n=63 ok best=0.2286 2.3s
  [33/57] cts_mmse30_lv=0-6 n=62 ok best=0.1879 2.4s
  [34/57] ceradsc=1 n=58 ok best=0.2049 2.5s
  [35/57] cts_mmse30_lv=12-18 n=56 ok best=0.2258 2.2s
  [36/57] amyThal=4 n=55 ok best=0.2835 2.3s
  [37/57] cts_mmse30_first_ad_dx=18-24 n=48 ok best=0.2431 2.4s
  [38/57] amyCerad=1 n=48 ok best=0.1934 2.5s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.2171 2.7s
  [40/57] TangleTotal=6-9 n=43 ok best=0.2164 2.8s
